Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,TicketGroupSize,HasCabin,FarePerPerson,LogFare,AgePclass,IsChild,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,CabinDeck_B,CabinDeck_C,CabinDeck_D,CabinDeck_E,CabinDeck_F,CabinDeck_G,CabinDeck_T,CabinDeck_U,FamilySizeGroup_Small,FamilySizeGroup_Solo
0,3,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.059159876663617626,-1.2316448970959013,-0.579161792940097,-0.5449249778098341,-0.45479780086724353,-0.8797405693934278,0.058824173919947875,-0.3205039348857167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0.059159876663617626,-1.2316448970959013,-0.579161792940097,1.8351149988007642,0.4389942769104231,1.3612199269233833,-0.8033424208507358,-0.3205039348857167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,0.8119223343984152,-0.579161792940097,-0.5449249778098341,-0.3347569491715175,-0.798539974052802,0.4283241431073837,-0.3205039348857167,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,-1.2316448970959013,0.15592817502233383,1.8351149988007642,0.18518743753380743,1.0620380556287106,-0.8957174131475948,-0.3205039348857167,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,0.8119223343984152,-0.579161792940097,-0.5449249778098341,-0.3312673895291999,-0.7841792430073967,1.2596990737791145,-0.3205039348857167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,3,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,-0.5609748304808925,0.8119223343984152,-0.579161792940097,-0.5449249778098341,-0.31986909191353363,-0.7386163019798164,0.6130741277011017,-0.3205039348857167,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,-0.5609748304808925,0.8119223343984152,-0.579161792940097,1.8351149988007642,0.8918232651031247,1.038145562232327,-0.31067579526748795,-0.3205039348857167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,-2.1027333275006983,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,-1.2316448970959013,1.6261081109471953,-0.5449249778098341,-0.43832707935550436,0.1364991380659541,-1.7886756720172314,3.1200864986464953,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0.6792945838081278,-1.2316448970959013,0.8910181429847647,-0.5449249778098341,-0.4523941921856151,-0.48145578049281335,0.5206991354042427,-0.3205039348857167,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,2,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,-1.2316448970959013,0.15592817502233383,-0.5449249778098341,-0.13625963012563605,0.4894379098126231,-1.1112590618402656,3.1200864986464953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
